Время;Просмотрено роликов
2017-01-01 00:00:00 - 2017-01-01 23:59:59;0
2017-01-02 00:00:00 - 2017-01-02 23:59:59;0
2017-01-03 00:00:00 - 2017-01-03 23:59:59;0
2017-01-04 00:00:00 - 2017-01-04 23:59:59;0
2017-01-05 00:00:00 - 2017-01-05 23:59:59;0
2017-01-06 00:00:00 - 2017-01-06 23:59:59;0
2017-01-07 00:00:00 - 2017-01-07 23:59:59;0
2017-01-08 00:00:00 - 2017-01-08 23:59:59;0
2017-01-09 00:00:00 - 2017-01-09 23:59:59;0
2017-01-10 00:00:00 - 2017-01-10 23:59:59;0
2017-01-11 00:00:00 - 2017-01-11 23:59:59;0
2017-01-12 00:00:00 - 2017-01-12 23:59:59;0
2017-01-13 00:00:00 - 2017-01-13 23:59:59;0
2017-01-14 00:00:00 - 2017-01-14 23:59:59;0
2017-01-15 00:00:00 - 2017-01-15 23:59:59;0
2017-01-16 00:00:00 - 2017-01-16 23:59:59;0
2017-01-17 00:00:00 - 2017-01-17 23:59:59;0
2017-01-18 00:00:00 - 2017-01-18 23:59:59;0
2017-01-19 00:00:00 - 2017-01-19 23:59:59;0
2017-01-20 00:00:00 - 2017-01-20 23:59:59;0
2017-01-21 00:00:00 - 2017-01-21 23:59:59;0
2017-01-22 00:00:00 - 2017-01-22 23:59:59;0
2017-01-23 00:00:00 - 2017-01-23 23:59:59;0
2017-01-24 00:00:00 - 2017-01-24 23:59:59;0
2017-01-25 00:00:00 - 2017-01-25 23:59:59;0
2017-01-26 00:00:00 - 2017-01-26 23:59:59;0
2017-01-27 00:00:00 - 2017-01-27 23:59:59;1
2017-01-28 00:00:00 - 2017-01-28 23:59:59;4
2017-01-29 00:00:00 - 2017-01-29 23:59:59;2
2017-01-30 00:00:00 - 2017-01-30 23:59:59;2
2017-01-31 00:00:00 - 2017-01-31 23:59:59;2
2017-02-01 00:00:00 - 2017-02-01 23:59:59;3
2017-02-02 00:00:00 - 2017-02-02 23:59:59;1
2017-02-03 00:00:00 - 2017-02-03 23:59:59;0
2017-02-04 00:00:00 - 2017-02-04 23:59:59;2
2017-02-05 00:00:00 - 2017-02-05 23:59:59;1
2017-02-06 00:00:00 - 2017-02-06 23:59:59;3
2017-02-07 00:00:00 - 2017-02-07 23:59:59;0
2017-02-08 00:00:00 - 2017-02-08 23:59:59;3
2017-02-09 00:00:00 - 2017-02-09 23:59:59;1
2017-02-10 00:00:00 - 2017-02-10 23:59:59;2
2017-02-11 00:00:00 - 2017-02-11 23:59:59;4
2017-02-12 00:00:00 - 2017-02-12 23:59:59;3
2017-02-13 00:00:00 - 2017-02-13 23:59:59;2
2017-02-14 00:00:00 - 2017-02-14 23:59:59;1
2017-02-15 00:00:00 - 2017-02-15 23:59:59;2
2017-02-16 00:00:00 - 2017-02-16 23:59:59;1
2017-02-17 00:00:00 - 2017-02-17 23:59:59;1
2017-02-18 00:00:00 - 2017-02-18 23:59:59;1
2017-02-19 00:00:00 - 2017-02-19 23:59:59;2
2017-02-20 00:00:00 - 2017-02-20 23:59:59;2
2017-02-21 00:00:00 - 2017-02-21 23:59:59;2
2017-02-22 00:00:00 - 2017-02-22 23:59:59;1
2017-02-23 00:00:00 - 2017-02-23 23:59:59;0
2017-02-24 00:00:00 - 2017-02-24 23:59:59;1
2017-02-25 00:00:00 - 2017-02-25 23:59:59;2
2017-02-26 00:00:00 - 2017-02-26 23:59:59;3
2017-02-27 00:00:00 - 2017-02-27 23:59:59;2
2017-02-28 00:00:00 - 2017-02-28 23:59:59;0
2017-03-01 00:00:00 - 2017-03-01 23:59:59;0
2017-03-02 00:00:00 - 2017-03-02 23:59:59;0
2017-03-03 00:00:00 - 2017-03-03 23:59:59;1
2017-03-04 00:00:00 - 2017-03-04 23:59:59;1
2017-03-05 00:00:00 - 2017-03-05 23:59:59;1
2017-03-06 00:00:00 - 2017-03-06 23:59:59;1
2017-03-07 00:00:00 - 2017-03-07 23:59:59;0
2017-03-08 00:00:00 - 2017-03-08 23:59:59;0
2017-03-09 00:00:00 - 2017-03-09 23:59:59;0
2017-03-10 00:00:00 - 2017-03-10 23:59:59;0
2017-03-11 00:00:00 - 2017-03-11 23:59:59;0
2017-03-12 00:00:00 - 2017-03-12 23:59:59;0
2017-03-13 00:00:00 - 2017-03-13 23:59:59;2
2017-03-14 00:00:00 - 2017-03-14 23:59:59;3
2017-03-15 00:00:00 - 2017-03-15 23:59:59;4
2017-03-16 00:00:00 - 2017-03-16 23:59:59;0
2017-03-17 00:00:00 - 2017-03-17 23:59:59;0
2017-03-18 00:00:00 - 2017-03-18 23:59:59;1
